freq_Hz,eps_r,substrate_h,feed_width_m,feed_type,patch_W,patch_L,eps_eff,bandwidth_Hz
2498160475.38945,4.989126547733588,0.002324995777474926,0.00419072284186087,3,0.03469797894664391,0.026274575833624917,4.479540959142448,588885878.7630098
4802857225.639665,4.663296769851226,0.000961279988996779,0.0032964622676709657,0,0.018559741376515806,0.014235641263627865,4.270050003550445,805778071.7636253
3927975767.2456203,3.4092313000228804,0.0013665992359247156,0.005822492624319704,0,0.025719114754136563,0.02022319867466347,3.145943837522659,578060707.0894743
3394633936.7881465,6.8581333608119035,0.0021582015921445454,0.002094892254921191,3,0.02229223490362805,0.016299527595994977,5.92122868959632,1355547897.0020688
1624074561.769746,5.812993284069031,0.0017052233613111998,0.003939282079994703,2,0.050041614449191585,0.03809241024069595,5.433913856958858,220160691.2054538
1623978081.3448105,8.92560793859203,0.0023464275965872344,0.004501050074951113,0,0.041461741085037536,0.030601201421731176,8.020982710703201,411860315.6945618
1232334448.672798,2.256876643856466,0.0029030197530571494,0.005127822446726908,2,0.09538432552855322,0.0796574893478464,2.166288582346062,92969270.23942861
4464704583.099741,7.150943420441011,0.0007913667192879937,0.0030348551521400353,1,0.016642156031573735,0.012455318392284687,6.529478329874675,766436819.8860831
3404460046.972835,8.103591028092488,0.0022739192909951526,0.004434609538287408,2,0.02065150208150144,0.014872658526814048,6.883005552887817,1760736406.580924
3832290311.184182,8.075892553506456,0.0010758603890802863,0.002516007356921414,1,0.01837397760992291,0.013608749389035918,7.249321284286727,860875148.5893902
1082337977.18321,9.0885917367642,0.0015361918185189231,0.0031773804618091014,1,0.06170609818723651,0.04594450771255164,8.59309329689184,109663556.2231279
4879639408.647978,7.8322699426359526,0.0005821568144878496,0.005478135656016996,3,0.014627912700535699,0.010927701007711406,7.226486798309551,855992062.4104012
4329770563.201687,9.42248049318157,0.0008397684557317473,0.005749538046654771,3,0.015175947935239084,0.01118170555257652,8.47584032008372,1158328639.5537257
1849356442.7131047,4.661252798567132,0.0012994432226222491,0.004594086734636324,1,0.04820913710078155,0.03737439745175961,4.421903094579329,145289313.57940623
1727299868.8284025,6.025675334012345,0.0013549645132199624,0.0028717594538809252,3,0.04633343287409182,0.03524160427296824,5.674803193791876,195292068.18420875
1733618039.4137354,2.1126373062631254,0.0027489630411552395,0.00510028894987332,0,0.06935672540616004,0.058041154894442976,2.0142876941957693,149808849.75111154
2216968971.838151,2.0556606984263297,0.0023545322731662877,0.0011293354086271009,0,0.05473864942872163,0.045851698118893905,1.9564978596963072,205086540.91568983
3099025726.5289516,3.921012963612159,0.0029304574204676026,0.0015137295526971052,2,0.030857008545711963,0.02332361670687018,3.4589751111595577,961589825.6586858
2727780074.5684633,2.806457577112682,0.0019976787758381014,0.004306868681876805,1,0.03985991857658742,0.03200950676430439,2.616979462982987,309180154.8500823
2164916560.7921677,4.081690943486029,0.0011042843302282949,0.0024562428763502875,2,0.0434671303864248,0.03409522923045231,3.889737042595478,183343325.96319887
3447411578.889518,3.416346356227179,0.0013191375748041073,0.005756931092002389,1,0.02928070693933822,0.02312949049264066,3.1815518654353534,387539865.88431287
1557975442.6081672,2.228160198709186,0.0012995898082299178,0.0031803030604615236,1,0.0757823571790571,0.06393822606721977,2.173308986484362,53840089.05972546
2168578594.140873,9.274433171248395,0.0013162358191581291,0.003146824101945885,2,0.03051772494849479,0.022598947845090325,8.49563625494212,469985381.32780886
2465447373.1747665,2.065785051111132,0.0021824104327795393,0.004390397550954656,2,0.04914051109615076,0.04108939231016996,1.9632973241151328,259668342.60348377
2824279936.868144,7.888657154696683,0.0018270198202260406,0.0048378428115309485,2,0.025193032001909407,0.018556591602497813,6.9629026907490195,949196321.4020628
4140703845.5720544,3.2171830953561322,0.0014635604452166108,0.0033777936906256825,2,0.02494714542616153,0.019651931264722183,2.9578445679217635,718928677.7311844
1798695128.633439,9.2978369759968,0.0008727244218217915,0.002070004508558621,0,0.036751552713472135,0.027341199584236815,8.80899558345033,195362506.2271004
3056937753.6544466,9.142367516719087,0.0005553479073553648,0.004866543213628108,1,0.021789636713901318,0.01621789888599253,8.633852753441468,318027629.4387709
3369658275.4481697,7.231209170954059,0.0010470866939692315,0.0026017563743681383,3,0.02194262482002958,0.01641175513719359,6.600046431447625,681029530.1713524
1185801650.8799908,7.377873198404841,0.0007686785099217032,0.0018755538464692882,1,0.06180552712887726,0.04658206366776539,7.163612438856038,54079023.046591334
3430179407.6057534,2.0427131357575083,0.0024636125771305985,0.004158200949625067,0,0.03545348377290593,0.029050496281752845,1.9063482940643695,511005154.72939825
1682096494.749166,9.878972528908816,0.0007812448945347135,0.0014522683349517521,1,0.038235027864799716,0.028382173365353865,9.41794157229981,145836537.42774817
1260206371.941118,9.022660828606515,0.0023105705932670905,0.005856763375430275,0,0.053170784580862,0.03941593678241641,8.263379311356097,246743896.8443324
4795542149.013332,9.160849805840737,0.0014641467244402065,0.004161986322060685,1,0.013877253716563303,0.00997788984522347,7.791037447175075,2067380587.964973
4862528132.298237,7.2739562964069755,0.0006834459743594399,0.0059294776046087795,0,0.015166575054270567,0.011351699116016644,6.6642104362857415,886452360.5699874
4233589392.4658446,4.758295429236292,0.0025318251235789645,0.00269446711739318,3,0.02088096431791764,0.015294938557314635,4.078466828158537,1763592111.9278903
2218455076.6934824,9.149189192723846,0.0019490764255915335,0.00585602580595199,3,0.03001511032162364,0.022051538352338078,8.129286203936399,686295933.734848
1390688456.0255356,4.332135425209539,0.0010894037821589327,0.001727811238643118,3,0.06605806100215893,0.05168766653776909,4.188305466116545,75183835.41735484
3736932106.0486274,6.501692346737623,0.0027367029358316697,0.0012034738617351423,3,0.020725805811809044,0.014838202776453811,5.461950274430476,1981642037.6134093
2760609974.9584055,2.797847778751059,0.0006131457846763786,0.0011649203022730129,0,0.039430512972711156,0.032306402651662645,2.724145661007147,107705944.35004249
1488152939.3791153,9.375645041062,0.0010045490204944074,0.0033243518529961357,1,0.044253857951489534,0.032915480518774846,8.900413157879756,139637450.34699288
